Timestamp,CPUUtilization,NetworkIn_MB,NetworkOut_MB,DiskReadBytes_MB,DiskWriteBytes_MB,DiskReadOps,DiskWriteOps,StatusCheckFailed,EBSBurstBalance_MB,EBSVolumeReadBytes_MB,EBSVolumeWriteBytes_MB,EBSVolumeReadOps,EBSVolumeWriteOps,EBSVolumeTotalIOs,EBSConsumedReadOps,EBSConsumedWriteOps,EBSConsumedIOs,EBSConsumedReadBytes_MB,EBSConsumedWriteBytes_MB,MemoryUtilization,DiskQueueLength,Latency_ms,RunningProcesses,ActiveConnections
2/17/2025 0:50,19.22,6.82,27.73,1.89,3.51,316,114,0,43.15,2.51,5.01,83,111,194,71,94,165,2.31,5.92,15.55,0.85,38.54,15,76
2/17/2025 0:55,16.37,11.03,26.88,1.1,5.03,213,332,0,70.17,1.82,3.7,139,175,314,160,209,370,1.83,3.09,10.37,0.27,17.06,16,44
2/17/2025 1:00,19.12,5.07,29.37,1.17,5.47,237,106,0,120.81,2.37,6.32,206,196,402,231,166,397,2.37,6.2,16.8,0.89,0.55,15,58
2/17/2025 1:05,24.47,20.24,15.65,1.42,6.69,80,316,0,59.44,9.06,0.95,228,260,488,185,213,399,9.4,1.05,17.1,0.91,15.38,26,66
2/17/2025 1:10,24.71,14.31,20.35,0.79,12.08,78,347,0,54.43,12.23,9.01,324,245,569,354,292,647,13.78,7.84,21.3,0.97,31.13,26,89
2/17/2025 1:15,21.43,15.85,35.18,1.21,7.52,196,299,0,112.71,9.65,2.14,209,93,302,236,108,345,8.92,2.07,17.05,0.59,13.89,26,70
2/17/2025 1:20,17.85,14.3,22.3,1.62,5.78,279,151,0,57.61,6.98,8.76,332,213,545,300,248,549,8.2,8.58,11.18,0.73,5.18,21,21
2/17/2025 1:25,24.06,11.58,43.35,2.27,3.28,134,190,0,51.63,10.74,6.67,378,275,653,348,236,585,11.33,8,19.24,0.48,10.2,23,57
2/17/2025 1:30,19.19,18.84,16.75,1.69,2.08,172,119,0,77.32,7.98,8.56,320,153,473,326,126,453,7.4,8.64,14.97,0.94,11.5,21,83
2/17/2025 1:35,22.56,8.31,43.11,1.99,9.57,96,184,0,92.1,6.17,2.8,197,257,454,214,306,520,5.92,2.96,16.62,1.05,36.5,29,79
2/17/2025 1:40,19.68,10.49,24.21,0.66,8.68,246,181,0,101.34,0.46,0.29,68,169,237,69,183,252,0.51,0.23,12.38,0.85,16.46,28,42
2/17/2025 1:45,23.91,6.34,36.14,1.21,0.66,242,131,0,100.36,2.36,0.67,198,158,356,204,154,358,2.42,0.67,15.03,0.62,14.53,30,71
2/17/2025 1:50,20.18,4.2,11.34,1.39,8.11,181,131,0,114.26,8.4,9.48,358,167,525,394,185,579,7.53,8.02,12.23,0.66,19,19,65
2/17/2025 1:55,20.46,8.66,16.63,1.31,7.96,105,334,0,95.59,4.99,3.38,100,252,352,99,265,365,4.58,2.93,13.82,0.15,20.01,22,50
2/17/2025 2:00,21.52,10.04,23.38,1.98,9.09,162,328,0,87.26,4.09,3.91,318,171,489,331,162,493,3.52,4.67,16.1,0.13,15.96,23,48
2/17/2025 2:05,15.94,1.83,21.5,1.25,7.11,217,339,0,87.34,7.81,5.22,150,206,356,145,165,311,7.79,5.47,13.87,0.33,3.45,18,74
2/17/2025 2:10,23.3,17.94,14.01,1.26,7.74,297,205,0,82.1,3.44,7.36,203,306,509,190,308,499,4,7.61,14.73,0.67,27.35,27,71
2/17/2025 2:15,18.87,18.3,34,1.58,4.31,247,130,0,42.25,2.65,2.8,175,222,397,141,193,335,2.28,3.24,11.73,0.27,2.46,20,91
2/17/2025 2:20,21.19,4.83,31.26,1.82,9.09,226,274,0,115.1,2.44,4.44,154,262,416,141,274,415,2.27,3.93,13.54,0.17,19.96,18,83
2/17/2025 2:25,16.44,10.13,12.97,1.58,5.95,145,324,0,125.29,0.36,4.17,297,195,492,287,224,512,0.37,4.2,12.37,0.47,7.15,23,9
2/17/2025 2:30,22.98,15.85,17.11,0.28,5.4,150,315,0,46.92,1.61,6.18,168,195,363,196,167,364,1.64,6.96,14.79,0.13,-10.22,23,65
2/17/2025 2:35,19.56,3.16,19.86,0.59,1.17,114,117,0,68.48,2.05,2.97,92,95,187,75,77,153,2.09,2.65,16.52,0.72,12.43,28,66
2/17/2025 2:40,17.12,9.68,33.3,1,2.95,237,265,0,110.66,0.29,1.25,124,242,366,138,267,405,0.29,1.38,13.46,0.55,-1.21,17,83
2/17/2025 2:45,14.77,8.97,16.33,0.32,3.81,264,128,1,122.63,5.45,1.87,262,151,413,269,148,417,5.51,1.91,12.29,0.61,31.72,19,51
2/17/2025 2:50,18.15,5.67,31.93,1.11,6.1,99,185,0,57.54,7.92,8.66,230,329,559,213,291,504,6.59,8.69,12.83,0.36,12.32,18,11
2/17/2025 2:55,26.11,18.34,23.36,1.36,0.34,284,163,0,54.67,4.72,6.41,204,211,415,219,240,460,3.99,5.45,22.32,1.17,1.9,26,93
2/17/2025 3:00,22.2,11.83,28.79,1.21,6.43,98,331,0,102.49,1.3,0.47,108,278,386,92,223,316,1.36,0.53,13.66,0.27,34.25,32,62
2/17/2025 3:05,19.9,10.92,22.95,1.11,1.09,250,266,0,67.54,0.79,3.67,255,96,351,256,84,341,0.77,3.53,14.53,0.41,16.08,22,61
2/17/2025 3:10,23.29,8.92,42.37,1.4,6.32,190,146,0,65.51,2,9.36,140,297,437,128,253,382,1.89,7.59,20.04,0.57,0.29,26,112
2/17/2025 3:15,24.48,24.09,28.8,1.98,5.68,298,163,0,63.6,1.38,4.79,219,123,342,175,131,306,1.54,4.43,17.02,0.8,30.44,33,115
2/17/2025 3:20,14.65,14.03,19.75,1.4,1.08,287,100,0,97.96,0.15,5.17,125,332,457,109,332,441,0.16,5.51,10,0.48,1.94,18,70
2/17/2025 3:25,14.66,8.48,8.62,0.25,5.48,109,118,0,58.61,1.88,2.01,307,297,604,273,342,616,1.55,1.73,10,0.49,12.26,12,68
2/17/2025 3:30,22.29,20.91,34.88,1.69,8.34,236,314,0,61.68,5.73,2.7,129,98,227,142,112,255,6.39,3.14,15.07,0.43,40.97,30,91
2/17/2025 3:35,20.89,11.51,33.66,1.6,6.06,68,231,0,70.81,4.38,4.88,149,256,405,129,277,407,4.48,4.65,13.06,0.99,3.1,18,56
2/17/2025 3:40,26.3,24.45,17.43,2.45,3.14,211,99,0,64.7,9.98,1.28,374,258,632,383,272,656,11.81,1.45,17.95,0.28,24.77,30,75
2/17/2025 3:45,19.98,4.72,20.38,1.38,7.01,181,249,0,97.59,1.78,1.33,106,124,230,96,100,196,1.87,1.29,14.86,0.36,15.73,25,29
2/17/2025 3:50,14.67,12.96,16.93,0.51,6.39,96,358,1,55.89,0.92,3.94,108,264,372,113,310,423,1.02,3.47,10.7,0.4,17.65,14,50
2/17/2025 3:55,24.11,6.75,40.97,0.38,9.34,204,147,0,51.91,9.48,10.17,200,393,593,187,349,536,10.79,9.66,16.29,0.32,21.67,23,22
2/17/2025 4:00,17.55,11.05,20.75,1.59,3.9,220,303,0,70.45,0.68,2.84,84,302,386,81,278,359,0.74,3.05,15.05,0.1,17.94,19,12
2/17/2025 4:05,19.24,17.28,27.9,1.81,2.32,263,310,0,85.59,0.82,1.86,282,113,395,252,102,355,0.84,1.98,11.58,0.58,28.64,26,90
2/17/2025 4:10,27.22,15.32,34.04,2.37,12.35,107,211,0,100.8,2.9,11.41,233,283,516,252,262,515,2.98,13.64,21.5,1.12,13.31,24,66
2/17/2025 4:15,18.32,2.61,97.99,0.39,8.87,76,256,0,55.59,9.06,9.06,162,285,447,156,240,396,9.12,8.8,13.03,0.64,0.83,16,80
2/17/2025 4:20,22.37,17.66,17.19,1.9,5.46,109,196,0,76.21,3.62,10.06,145,173,318,144,193,337,3.26,11.29,19.37,0.75,4.36,32,25
2/17/2025 4:25,19.48,16.1,17.03,0.79,2.91,75,320,0,84.59,8.86,2,238,242,480,220,268,488,8.12,2.33,14.19,0.64,7.49,17,32
2/17/2025 4:30,21.28,8.9,35.62,1.51,6.61,186,296,0,109.43,5.08,1.49,141,120,261,132,136,269,5.06,1.43,13.54,0.58,20.4,18,52
2/17/2025 4:35,13.93,2.56,20.31,0.76,0.35,65,79,0,107.29,6.94,2.95,363,86,449,423,97,521,7.7,3.52,10.86,0.32,16.36,16,11
2/17/2025 4:40,17.89,15.76,30.47,1.75,7.9,190,184,0,52.05,2.18,3,197,324,521,166,334,500,2.07,2.64,15.49,0.65,17.88,22,14
2/17/2025 4:45,17.97,10.15,9.42,1.49,8.67,202,163,0,54.48,1.25,0.54,79,228,307,79,182,261,1.37,0.51,11.61,0.64,9.75,19,61
2/17/2025 4:50,23.78,12.15,12.38,2.1,7.96,177,265,0,95.18,7.73,8.21,208,359,567,218,351,569,8.61,9.26,16.53,1.02,13.53,27,60
2/17/2025 4:55,22.01,2.47,14.16,1.32,8.72,169,272,0,86.91,10.37,6.17,329,313,642,355,367,723,11.68,6.65,13.6,1.02,13.97,31,105
2/17/2025 5:00,23.67,15.28,41.75,1.88,7.17,171,300,0,58.12,5.23,7.92,296,337,633,320,333,653,5.79,8.38,20.28,0.29,26.33,32,29
2/17/2025 5:05,18.59,11.73,26.7,0.42,6.34,108,116,0,86.88,0.56,7.78,120,176,296,124,193,318,0.66,8.46,16.21,0.78,18.5,23,11
2/17/2025 5:10,21.34,2.56,37.35,1.89,6.17,69,299,0,59.09,5.73,5.75,149,156,305,168,148,317,6.63,5.24,14.77,0.97,24.17,25,99
2/17/2025 5:15,21.22,18.24,11.77,2.07,6.49,125,192,0,72.82,2.84,9.73,229,338,567,243,351,594,2.69,9.24,13.52,0.13,27.44,18,25
2/17/2025 5:20,22.29,15.4,35.21,1.43,7,262,327,0,59.27,7.11,8.19,274,219,493,259,230,490,7.83,7.41,18.98,0.27,26.26,22,26
2/17/2025 5:25,18.47,14.07,11.79,0.83,6.03,155,180,0,53.47,5,0.46,284,252,536,336,205,542,4.74,0.45,12.03,0.33,33.23,20,17
2/17/2025 5:30,17.44,8.18,29.04,1.38,2.59,217,113,0,47.73,3.54,8.56,130,245,375,140,242,383,3.1,7.59,11.13,0.1,19.5,20,44
2/17/2025 5:35,16.7,16.29,21.82,0.9,5.49,306,311,0,46.62,6.5,3.33,151,134,285,138,125,264,6.75,3.87,12.33,0.19,17.05,22,50
2/17/2025 5:40,26.03,11.73,34.96,2.29,1.28,233,233,0,58.25,6.43,1.43,271,125,396,223,135,358,6.35,1.38,16.1,1.2,20.97,30,121
2/17/2025 5:45,21.32,2.99,35.74,1.89,3.19,173,245,0,92.33,2.24,10.48,271,201,472,273,167,440,2.54,10.39,16.86,0.87,26.78,25,47
2/17/2025 5:50,18.49,4.97,14.06,0.41,7.24,83,151,0,82.52,3.17,3.01,326,126,452,303,138,442,3.07,3.49,12.92,0.4,10.11,22,16
2/17/2025 5:55,23.44,5.45,46.83,1.68,6.69,252,224,0,113.38,7.97,2.97,296,171,467,255,201,456,8.88,3.34,19.23,0.77,14.76,29,62
2/17/2025 6:00,23.49,20.82,12.29,1.95,5.32,197,289,0,84.1,7.35,8.84,372,159,531,408,131,539,7.68,8.93,16.12,1.08,10.67,24,15
2/17/2025 6:05,12.42,10.45,19.58,0.29,4.17,128,259,0,70.93,3.99,4.33,291,101,392,247,107,355,4.66,4.1,10,0.49,24.65,17,44
2/17/2025 6:10,20.19,13.71,11.05,1.28,1.36,165,212,0,48.48,6.86,4.58,318,127,445,322,139,461,8.03,5.34,14.83,0.64,5.37,24,22
2/17/2025 6:15,20.64,11.25,30.67,1.12,7.36,300,219,0,73.18,9.42,7.27,256,300,556,217,298,515,8.14,7.06,12.92,0.17,23.37,18,64
2/17/2025 6:20,24.02,4.01,22.64,0.52,0.37,150,282,0,92.44,6.53,10.21,235,327,562,201,342,543,7.33,11.76,14.77,0.84,10.86,33,81
2/17/2025 6:25,25.76,22.99,46.62,1.06,0.96,270,230,0,99.31,9.79,1.2,170,78,248,197,68,265,8.95,1.37,20.23,0.83,41.03,20,120
2/17/2025 6:30,23.61,5.82,22.44,1.46,3.15,128,136,0,39.49,11.25,0.51,216,274,490,248,228,477,10.69,0.56,14.99,0.38,17.84,24,37
2/17/2025 6:35,18.96,16.52,11.05,1.22,8.14,307,325,0,92.93,4.16,7.78,222,214,436,225,200,425,4.29,8.23,16.84,0.28,15.2,19,76
2/17/2025 6:40,22.42,17.61,18.25,1.15,7.78,94,228,0,43.91,1.65,5.4,161,168,329,150,155,305,1.39,4.69,16.71,0.22,22.06,19,92
2/17/2025 6:45,20.19,5.53,33.99,0.65,6.71,66,237,0,95.36,7.78,2.03,244,282,526,246,331,578,6.61,2.32,15.19,0.6,20.16,22,70
2/17/2025 6:50,21.03,2.22,27.88,0.33,9.8,231,318,0,52.65,6.15,4.82,120,115,235,125,122,248,6.76,5.16,13.44,0.46,25.95,24,55
2/17/2025 6:55,17.58,3.77,28.49,1.64,4.15,148,198,0,70.01,3.96,3.8,293,118,411,344,126,471,3.44,3.65,12.29,0.75,7.26,25,12
2/17/2025 7:00,20.23,12.05,30.43,0.39,5.72,62,324,0,95.07,4,9.31,318,237,555,380,259,640,3.21,9.51,13.71,0.43,8.12,20,99
2/17/2025 7:05,21.71,19.07,41.6,1.34,2.78,166,312,0,73.63,6.42,4.7,233,214,447,278,256,534,6.61,5.62,15.23,0.26,20.6,18,79
2/17/2025 7:10,14.69,2.6,26.33,1.46,2.96,298,103,0,101.37,6.46,5.13,127,256,383,146,227,373,7.63,5.82,11.8,0.44,14.2,15,7
2/17/2025 7:15,18.5,16.07,16.04,1.49,7.91,293,330,0,99.44,5.19,6.73,138,328,466,152,386,538,5.98,6.7,12.96,0.6,7.15,18,48
2/17/2025 7:20,14.93,5.3,14.67,0.26,4.77,198,227,0,46.83,7.24,1.24,353,206,559,344,182,527,6.61,1.42,11.82,0.59,15.32,15,62
2/17/2025 7:25,22.14,5.92,24.98,0.83,4.92,252,222,0,85.24,4.38,10.84,314,165,479,259,134,393,4.29,9.33,15.32,0.89,-0.37,22,108
2/17/2025 7:30,21.66,8.35,39.36,0.68,1.61,135,172,0,101.74,0.99,3.81,187,193,380,217,166,383,0.81,4.08,15.26,0.99,5.78,19,46
2/17/2025 7:35,21.39,5.02,34.59,0.32,4.42,123,198,0,82.17,2.33,0.6,211,62,273,170,65,235,1.93,0.7,15.53,1.05,28.34,19,45
2/17/2025 7:40,18.63,10.34,21.37,0.87,0.65,292,135,0,98,3.19,6.53,109,118,227,121,138,259,3.45,5.54,14.12,0.4,11.21,27,72
2/17/2025 7:45,20.39,13.02,24.74,0.49,3.64,188,291,0,62.88,6.4,7.41,247,161,408,230,189,419,7.53,6.72,15.16,0.51,16.56,21,82
2/17/2025 7:50,22.27,13.28,25.3,0.61,10.59,170,289,0,56.87,5.94,0.95,193,82,275,157,84,241,5.19,1.1,16.2,0.57,16.43,20,39
2/17/2025 7:55,21.53,16.79,27.16,1.88,6.71,214,236,0,105.34,9.93,10.02,367,382,749,341,406,747,10.78,10.48,19.23,0.14,6.88,19,106
2/17/2025 8:00,28.01,16.6,19.56,2.28,9.74,96,246,0,48.27,1.19,11.01,254,408,662,293,477,770,1.11,11.88,23.16,0.55,28.51,33,120
2/17/2025 8:05,39.25,21.27,60.49,3.87,12.68,329,360,0,65.22,7.95,7.88,167,246,413,169,224,394,6.9,7.09,25.21,0.49,35.33,42,59
2/17/2025 8:10,34.06,20,48.59,2.51,3.11,142,99,0,95.24,11.92,6.3,369,134,503,333,129,462,10.38,6.03,25.39,1.39,23.98,47,89
2/17/2025 8:15,28.1,6.89,23.5,1.58,13.48,73,193,0,44.93,12.21,9.44,198,230,428,226,254,480,14.28,11.09,21.4,1.02,7.03,25,67
2/17/2025 8:20,32.82,4.48,40.32,1.52,14.4,234,402,0,81.94,9.29,13.65,315,339,654,356,381,738,10.05,11.41,20.16,1.61,16.96,34,131
2/17/2025 8:25,24.04,5.95,24.48,0.28,2.48,224,243,0,108.42,10.78,5.8,236,220,456,250,232,483,12.46,6.72,15.63,0.74,26.39,33,90
2/17/2025 8:30,33.46,4.34,49.24,2.28,12.62,103,248,0,69.36,10.85,5.36,269,121,390,315,106,421,11.43,5.11,25.24,0.26,38.04,32,121
2/17/2025 8:35,24.3,18.08,45.57,0.47,4.77,127,230,0,81.18,0.65,10.24,265,274,539,221,275,496,0.69,12.16,16.16,0.2,34.04,21,35
2/17/2025 8:40,28.49,26.12,47.03,1.71,7.63,137,361,0,93.97,1.84,1.29,97,187,284,97,151,249,1.48,1.05,24.22,1.27,10.02,27,141
2/17/2025 8:45,24.84,16.43,37.22,1.1,7.93,170,209,0,46.42,3.34,12.1,277,187,464,243,217,460,3.38,14.4,20.75,0.5,8.89,21,54
2/17/2025 8:50,26.86,16.96,48.45,1.97,8.22,118,191,0,40.16,10.42,12.31,395,277,672,412,301,714,10.59,12.17,18.75,0.75,40.91,30,17
2/17/2025 8:55,24.29,9.9,24.58,0.65,5.76,78,175,0,92.69,0.49,4.07,212,237,449,178,241,420,0.4,4.03,19.74,0.6,17.14,29,108
2/17/2025 9:00,23.86,14.26,41.67,2.03,10.76,270,173,0,103.96,2,0.68,78,69,147,83,65,148,1.65,0.66,20.8,0.91,29.7,21,107
2/17/2025 9:05,29.55,14.58,19.63,1.36,11.88,84,180,0,95.47,9.77,8.01,204,234,438,220,233,453,10.19,6.78,24.39,0.75,18.86,26,145
2/17/2025 9:10,32,31.03,51.52,0.56,5.22,232,276,0,78.6,13.5,14.28,397,353,750,443,367,810,14.4,11.57,27.93,0.83,30.28,27,129
2/17/2025 9:15,26.12,12.15,13.22,2.26,12.74,169,409,0,55.36,7.66,12.08,132,417,549,156,466,623,7.42,12.26,18.57,0.93,25.41,25,42
2/17/2025 9:20,35.8,29,40.14,1.37,1.99,193,277,0,40.34,5.34,14.76,132,277,409,133,226,360,5.4,14.7,29.39,1.33,29.2,43,35
2/17/2025 9:25,32.02,10.86,51.77,2.42,5.11,137,277,0,41.23,14.68,13.56,270,198,468,222,166,388,13.81,15.05,25.52,0.43,31.97,42,88
2/17/2025 9:30,32.23,19.32,59.09,2.16,4.6,282,200,0,76.86,5.1,10.87,277,195,472,262,183,445,5.38,9.05,23.83,0.57,7.52,44,107
2/17/2025 9:35,35.82,32.57,69.51,1.44,10.26,88,306,0,35.37,15.61,12.85,312,195,507,289,206,496,12.56,14.52,22.72,0.44,17.34,50,45
2/17/2025 9:40,26.71,7.7,25.71,1.72,11.43,135,263,0,83.52,11.18,12.44,266,336,602,305,327,632,10.63,13.75,16.14,0.32,32.71,38,36
2/17/2025 9:45,30.64,29.72,47.17,2.32,0.99,82,230,0,52.66,10.15,0.8,236,208,444,252,185,438,9.81,0.89,23.42,0.52,23.22,43,135
2/17/2025 9:50,28.62,22.11,54.48,1.86,13.35,195,199,0,67.12,2.33,4.07,168,281,449,165,268,433,2.46,4.8,18.86,0.96,26.91,37,125
2/17/2025 9:55,30.86,12.96,48.52,2.81,3.19,217,228,0,62.79,6.63,11.9,155,179,334,136,159,295,5.78,12.84,23.87,1.06,25.22,25,138
2/17/2025 10:00,24.95,5.54,18.64,2.23,1.55,196,223,0,49.54,7.18,0.99,126,105,231,124,92,216,7.84,0.99,15.34,0.85,29.52,34,20
2/17/2025 10:05,24.82,21.81,42.64,1.33,5.44,232,335,0,80.08,7.88,10.96,362,388,750,405,351,756,8.58,12.35,17.87,0.76,15.94,20,104
2/17/2025 10:10,41.58,40.37,77.2,1.88,19.43,292,379,0,53.56,15.58,7.51,445,192,637,430,173,603,14.18,7.88,30.37,0.46,31.27,57,194
2/17/2025 10:15,25.18,17.03,25.81,0.41,11.52,120,305,0,99.12,11.98,6.56,239,138,377,207,129,337,10.59,5.94,17.4,0.9,31.25,31,106
2/17/2025 10:20,29.13,17.64,26.75,1.8,7.2,172,366,0,98.38,2.61,3.18,305,170,475,353,188,542,2.51,2.9,21.76,0.41,21.51,25,96
2/17/2025 10:25,25.5,7.92,18.66,1.15,12.44,144,204,0,87.53,0.47,10.37,280,249,529,309,242,551,0.54,12.25,17.17,0.65,25.83,34,77
2/17/2025 10:30,30.18,8.99,27.05,2.13,8.46,269,162,0,38.54,12.52,5.23,397,156,553,327,142,470,14.57,5.1,25.92,0.27,47.97,28,51
2/17/2025 10:35,28.43,11.05,27.21,0.76,13.85,144,384,0,46.86,10.13,2.37,386,202,588,435,221,656,8.84,2.12,23.65,0.97,11.36,27,43
2/17/2025 10:40,25.07,6.51,50.05,1.34,20.84,280,437,0,73.83,7.19,3.62,124,326,450,132,347,479,6.98,4.31,19.88,0.25,12.88,23,31
2/17/2025 10:45,32.31,31.46,18.13,1.38,7.94,294,209,0,65.5,9.69,4.61,164,279,443,173,231,404,9.02,3.7,26.23,0.68,14.77,29,62
2/17/2025 10:50,30.75,25.42,22.33,2.57,3.01,100,99,0,56.6,1.88,7.34,283,152,435,307,170,478,2.16,6.37,27.46,0.42,14.12,29,100
2/17/2025 10:55,25.09,3.87,36.84,1.81,8.6,237,337,0,74.97,0.33,5.21,296,307,603,312,363,676,0.35,4.33,18.96,0.69,16.96,25,101
2/17/2025 11:00,28.74,24.06,17.88,2.65,5.83,172,240,0,89.72,4.4,11.45,326,220,546,313,193,507,5.09,13.23,23.91,0.18,37.53,37,116
2/17/2025 11:05,26.98,5.83,27.2,0.88,13.07,298,388,0,103.89,2.33,11.43,244,308,552,248,361,610,2.4,10.07,17.31,1.11,26.19,35,65
2/17/2025 11:10,34.5,12.81,19.97,2.48,16.71,184,398,0,34.37,2.89,15.01,142,294,436,136,298,435,2.75,16.92,30.34,1.31,41.67,45,89
2/17/2025 11:15,34.16,31.18,31.24,0.93,12.48,191,215,0,48.65,9.73,13.18,245,222,467,222,256,479,9.21,14.03,29.11,0.46,22.69,40,91
2/17/2025 11:20,28.22,17.19,44.09,1.64,12.5,231,176,0,77.75,9.27,0.69,211,160,371,248,178,427,10.06,0.64,19.83,0.58,10.86,38,81
2/17/2025 11:25,38.08,35.68,57.78,1.23,12.84,252,204,0,37.35,12.67,9.62,344,194,538,349,178,527,11.23,8.28,22.89,1.02,9.16,31,173
2/17/2025 11:30,34.82,22.78,23.82,0.69,10.85,197,164,0,79.12,9.93,3.64,270,170,440,267,184,452,10.12,3.62,22.04,0.93,30.1,28,140
2/17/2025 11:35,31.51,21.27,28.85,0.98,4.64,110,199,0,84.49,13.82,1.71,273,70,343,316,65,381,13.28,1.94,25.29,0.36,41.18,32,114
2/17/2025 11:40,38.53,10.03,33.91,0.48,3.44,254,150,0,62.12,10.93,9.58,362,257,619,297,255,552,9.99,11.04,30.59,0.94,20.39,34,170
2/17/2025 11:45,34.38,22.8,68.05,2.9,5.49,110,108,0,61.8,10.48,6.2,234,119,353,187,119,307,10.51,5.27,25.25,0.69,29.56,34,114
2/17/2025 11:50,27.19,22.86,41.51,1.21,11.25,189,370,0,86.3,1.4,10.75,214,230,444,194,265,460,1.53,12.23,19.22,0.5,23.88,31,109
2/17/2025 11:55,32.61,30.42,57.91,1.61,14.79,226,347,0,38.39,2.84,0.47,199,119,318,201,105,307,2.72,0.46,21.83,0.67,34.19,47,133
2/17/2025 12:00,33.54,7.99,52.22,1.57,14.94,83,393,0,94.35,13.13,8.01,364,369,733,401,383,785,10.55,7,28.9,1.47,26.1,39,140
2/17/2025 12:05,42.31,13.03,48.04,3.71,16.01,223,270,0,45.58,11.57,5.47,289,275,564,240,282,522,11.67,4.44,36.69,1.17,15.45,41,187
2/17/2025 12:10,32.29,9.8,63.27,2.04,1.65,251,249,0,87,13.46,3.23,419,118,537,478,96,574,15.04,3.3,20.27,1.5,23.38,43,55
2/17/2025 12:15,34.29,5.31,52.43,1.58,4.21,162,257,0,57.87,12.74,9.72,224,346,570,188,401,590,13.07,9.76,22.27,0.82,9.34,28,116
2/17/2025 12:20,33.8,29.99,61.1,1.82,13.8,157,234,0,49.55,8.56,13.68,355,241,596,394,233,627,7.73,11.53,25.36,1.01,20.8,43,160
2/17/2025 12:25,22.83,8.19,19.7,2.26,10.72,100,235,0,50.33,10.87,6.35,381,166,547,448,175,623,13.02,6.95,19.01,0.68,26.69,22,89
2/17/2025 12:30,29.95,12.84,38.72,1.14,13.48,277,221,0,102.87,12.17,1.64,290,311,601,292,274,566,9.98,1.34,23.83,0.69,25.84,26,119
2/17/2025 12:35,24.64,17.76,25.62,1.58,9.35,80,188,0,78.75,12.13,7.94,294,320,614,286,295,581,10.74,8.26,21.79,0.37,15.56,29,53
2/17/2025 12:40,37.4,34.51,54.88,1.11,14.75,255,333,0,80.15,6.1,9.61,243,394,637,222,397,619,6.56,8.03,30.24,0.68,26.46,52,66
2/17/2025 12:45,21.01,20.73,35.51,1.22,6.07,209,208,0,48.22,8.06,0.87,295,220,515,340,244,585,8.64,0.97,16.5,0.87,30.79,22,87
2/17/2025 12:50,31.77,15.24,31.32,2.41,11.97,81,317,0,70.24,3.97,8.15,142,237,379,139,258,397,4.13,6.95,27.54,0.74,43.61,29,131
2/17/2025 12:55,28.65,15.28,52.33,1.34,9.13,143,321,0,62.59,6.33,0.7,266,137,403,261,146,407,5.4,0.78,19.23,1.34,16.89,25,35
2/17/2025 13:00,28.28,13.32,42.77,2.61,6.87,189,179,0,71.8,12.79,12.29,239,359,598,285,392,678,13.1,11.56,21.27,0.55,27.85,38,44
2/17/2025 13:05,27.14,7.73,39.65,2.21,13.34,88,220,0,107.82,11.62,0.48,228,135,363,260,134,394,13.21,0.43,21.49,0.78,26.06,30,130
